decision,raw_name,receipt_price,rank,score,evidence,catalog_name,brand,pack_size,catalog_price,article_number,url
,Mr.Freed Avocado,2.59,1,7.0,search#1 name:avocado brand:freed,Tortilla Chips Avocado,Mister Freed,"0,14 kg (14,74 € / 1 kg)",1.99,5060367450578,https://produkte.globus.de/suesses-salziges/snacks-knabberzeug/chips/5060367450578/tortilla-chips-avocado
,OHO Haushaltshandsch,3.96,1,5.0,search#1 brand:oho,"Haushaltshandschuhe L, 1 Paar",OHO,,0.99,4304218150813,https://produkte.globus.de/kueche-haushalt/reinigungsmittel/reinigungszubehoer/4304218150813/haushaltshandschuhe-l-1-paar
,OHO Haushaltshandsch,3.96,2,4.7,search#2 brand:oho,"Haushaltshandschuhe S, 1 Paar",OHO,,0.55,4304218150776,https://produkte.globus.de/kueche-haushalt/reinigungsmittel/reinigungszubehoer/4304218150776/haushaltshandschuhe-s-1-paar
,OHO Haushaltshandsch,3.96,3,4.4,search#3 brand:oho,Haushaltshandschuhe Mittel,OHO,,0.69,4304218150790,https://produkte.globus.de/kueche-haushalt/reinigungsmittel/reinigungszubehoer/4304218150790/haushaltshandschuhe-mittel
,Primitivo Puglia,4.99,1,7.0,search#1 name:primitivo+puglia,"Primitivo Puglia IGT, Rotwein",Doppio Passo,"0,75 l (10,65 € / 1 l)",,4002859120799,https://produkte.globus.de/getraenke/wein/rotwein/4002859120799/primitivo-puglia-igt-rotwein
,Primitivo Puglia,4.99,2,6.7,search#2 name:primitivo+puglia,"Primitivo Puglia, Rotwein",le Vignate,"0,75 l (7,99 € / 1 l)",5.99,8021904212117,https://produkte.globus.de/getraenke/wein/rotwein/8021904212117/primitivo-puglia-rotwein
,Primitivo Puglia,4.99,3,6.4,search#3 name:primitivo+puglia,Primitivo Puglia IGT,Doppio Passo,"0,25 l (11,96 € / 1 l)",2.99,4002859120485,https://produkte.globus.de/getraenke/wein/rotwein/4002859120485/primitivo-puglia-igt
,SAATENBR?TCHEN 3+1,1.65,1,3.5,search#1 price:1.65,"Saatenbrötchen 3er (3x 1,000 Stück)",GLOBUS Meisterbäckerei,"3 Stk (0,55 € / 1 Stk)",1.65,2001609697033,https://produkte.globus.de/brot-backwaren-fruehstueck/meisterbaeckerei/brot-broetchen/2001609697033/saatenbroetchen-3er-3x-1-000-stueck
,SAATENBR?TCHEN 3+1,1.65,2,2.7,search#2,"Saatenbrötchen 5er (5x 1,000 Stück)",GLOBUS Meisterbäckerei,"5 Stk (0,53 € / 1 Stk)",2.65,2001609697026,https://produkte.globus.de/brot-backwaren-fruehstueck/meisterbaeckerei/brot-broetchen/2001609697026/saatenbroetchen-5er-5x-1-000-stueck
,SAATENBR?TCHEN 3+1,1.65,3,2.4,search#3,Saatenbrötchen Low Carb,Steiner,"0,28 kg (10,68 € / 1 kg)",,9180007870422,https://produkte.globus.de/brot-backwaren-fruehstueck/brot-backwaren/brot-broetchen/9180007870422/saatenbroetchen-low-carb
