decision;raw_name;receipt_price;rank;score;evidence;catalog_name;brand;pack_size;catalog_price;article_number;url
y;Alnatura Eier 10er;5.29;2;5.83;name:eier brand:alnatura size:10piece price:5.29;Bio Eier, Bruderküken Gr. M-L;Alnatura;10 Stk (0,53 € / 1 Stk);5.29;4104420203969;https://produkte.globus.de/milchprodukte-eier/eier/4104420203969/bio-eier-bruderkueken-gr.-m-l
y;Alnatura Eier 10er;5.29;3;5.33;name:eier brand:alnatura size:10piece;Bio Eier Bruderküken, Gr. M-L;Alnatura;10 Stk (0,53 € / 1 Stk);;4104420204003;https://produkte.globus.de/milchprodukte-eier/eier/4104420204003/bio-eier-bruderkueken-gr.-m-l
;Avocados Globus Gold;1.49;1;3.33;name:gold brand:gold;Kaffee Gold, gemahlen;Mocca Fix Gold;0,5 kg (11,98 € / 1 kg);5.99;4013743000646;https://produkte.globus.de/brot-backwaren-fruehstueck/kaffee/bohnenkaffee-gemahlen/4013743000646/kaffee-gold-gemahlen
;Avocados Globus Gold;1.49;2;3.33;name:gold brand:globus;Rooibos Tee Früchtemischung mit Orangengeschmack, Rotes Gold;GLOBUS;0,1 kg (10,00 € / 1 kg);;4304218730039;https://produkte.globus.de/brot-backwaren-fruehstueck/tee/fruechtetee/4304218730039/rooibos-tee-fruechtemischung-mit-orangengeschmack-rotes-gold
;Avocados Globus Gold;1.49;3;3.33;name:globus brand:globus;Globus Bio Reiswaffeln mit Salz;GLOBUS Bio;0,1 kg (7,90 € / 1 kg);0.79;4304218732279;https://produkte.globus.de/brot-backwaren-fruehstueck/brot-backwaren/knaeckebrot-reiswaffeln-zwieback/4304218732279/globus-bio-reiswaffeln-mit-salz
;BIO MILCH LACT.FREI;1.89;1;3.0;name:bio brand:bio;Bio Basilikum Topf;GLOBUS Bio;;1.79;2070000605602;https://produkte.globus.de/obst-gemuese/frische-kraeuter-gewuerze/2070000605602/bio-basilikum-topf
;BIO MILCH LACT.FREI;1.89;2;3.0;name:bio brand:bio;Bio Dill Topf;GLOBUS Bio;;1.29;2070000605633;https://produkte.globus.de/obst-gemuese/frische-kraeuter-gewuerze/2070000605633/bio-dill-topf
;BIO MILCH LACT.FREI;1.89;3;3.0;name:bio brand:bio;Bio Koriander Topf;GLOBUS Bio;;1.79;2070000606234;https://produkte.globus.de/obst-gemuese/frische-kraeuter-gewuerze/2070000606234/bio-koriander-topf
y;Baguette Pfefferkr.;1.59;1;2.5;name:baguette price:1.59;Baguette mit Pfefferkruste;GLOBUS Meisterbäckerei;0,25 kg (6,36 € / 1 kg);1.59;117747;https://produkte.globus.de/brot-backwaren-fruehstueck/meisterbaeckerei/brot-broetchen/117747/baguette-mit-pfefferkruste
;Baguette Pfefferkr.;1.59;2;2.0;name:baguette;Baguette 250g;GLOBUS Meisterbäckerei;0,25 kg (3,16 € / 1 kg);0.79;2001609644006;https://produkte.globus.de/brot-backwaren-fruehstueck/meisterbaeckerei/brot-broetchen/2001609644006/baguette-250g
;Baguette Pfefferkr.;1.59;3;2.0;name:baguette;Baguette 500g;GLOBUS Meisterbäckerei;0,5 kg (5,60 € / 1 kg);2.8;2001684274006;https://produkte.globus.de/brot-backwaren-fruehstueck/meisterbaeckerei/brot-broetchen/2001684274006/baguette-500g
;Dove Dusche;2.49;-;;no candidate;;;;;;
;Dove Dusche 225ml;2.49;-;;no candidate;;;;;;
;Drachenzungen Eis bu;4.99;1;2.0;name:eis;Eis-Creme-Dessert Stracciatella;Komet;0,07 kg (14,14 € / 1 kg);0.99;4012281310002;https://produkte.globus.de/brot-backwaren-fruehstueck/backzutaten/dessertpulver/4012281310002/eis-creme-dessert-stracciatella
;Drachenzungen Eis bu;4.99;2;2.0;name:eis;Eis-Creme-Dessert, Vanille;Komet;0,07 kg (14,14 € / 1 kg);0.99;4012281310101;https://produkte.globus.de/brot-backwaren-fruehstueck/backzutaten/dessertpulver/4012281310101/eis-creme-dessert-vanille
;Drachenzungen Eis bu;4.99;3;2.0;name:eis;Eis-Creme-Dessert, Zitrone;Komet;0,07 kg (15,57 € / 1 kg);1.09;4012281310200;https://produkte.globus.de/brot-backwaren-fruehstueck/backzutaten/dessertpulver/4012281310200/eis-creme-dessert-zitrone
;FEINSTES H?HNCHENBRU;1.69;-;;no candidate;;;;;;
;GLOBUS Konf.Erdbeer;1.79;1;3.33;name:erdbeer brand:globus;Erdbeer-Sahnerolle 400g;GLOBUS Meisterbäckerei;0,4 kg (13,00 € / 1 kg);5.2;2001610069003;https://produkte.globus.de/brot-backwaren-fruehstueck/meisterbaeckerei/sonstige-backwaren/2001610069003/erdbeer-sahnerolle-400g
;GLOBUS Konf.Erdbeer;1.79;2;3.33;name:erdbeer brand:globus;Erdbeer Herz Tart groß;GLOBUS Meisterbäckerei;0,83 kg (8,42 € / 1 kg);6.99;2001656641003;https://produkte.globus.de/brot-backwaren-fruehstueck/meisterbaeckerei/kuchen-torten/2001656641003/erdbeer-herz-tart-gross
;GLOBUS Konf.Erdbeer;1.79;3;3.33;name:erdbeer brand:globus;Herz-Sahnetart Erdbeer/Sahne;GLOBUS Meisterbäckerei;0,7 kg (9,79 € / 1 kg);6.85;2001656685007;https://produkte.globus.de/brot-backwaren-fruehstueck/meisterbaeckerei/sonstige-backwaren/2001656685007/herz-sahnetart-erdbeer-sahne
;Gefrierbeutel 3 l;1.0;-;;no candidate;;;;;;
;H?hn.Innenbrustfilet;4.99;-;;no candidate;;;;;;
y;JT Cheddar gerieben;2.19;1;4.5;name:cheddar+gerieben brand:jeden+tag price:2.19;Cheddar, gerieben;Jeden Tag;0,2 kg (10,95 € / 1 kg);2.19;4306188039365;https://produkte.globus.de/milchprodukte-eier/kaese/reibekaese/4306188039365/cheddar-gerieben
;JT Cheddar gerieben;2.19;2;3.5;name:cheddar brand:jeden+tag price:2.19;Cheddar, Scheiben;Jeden Tag;0,18 kg (12,51 € / 1 kg);2.19;4306188038665;https://produkte.globus.de/milchprodukte-eier/kaese/kaesescheiben/4306188038665/cheddar-scheiben
;JT Cheddar gerieben;2.19;3;3.0;name:gerieben brand:jeden+tag;Haselnusskerne, gerieben;Jeden Tag;0,2 kg (10,00 € / 1 kg);2.0;4306188039273;https://produkte.globus.de/brot-backwaren-fruehstueck/backzutaten/nuesse-zum-backen/4306188039273/haselnusskerne-gerieben
;JT K?chent?cher 3-la;2.75;1;2.0;brand:jeden+tag;Eier aus Bodenhaltung, Gr. S/L;Jeden Tag;10 Stk (0,25 € / 1 Stk);2.49;4006358009227;https://produkte.globus.de/milchprodukte-eier/eier/4006358009227/eier-aus-bodenhaltung-gr.-s-l
;JT K?chent?cher 3-la;2.75;2;2.0;brand:jeden+tag;Eier aus Freilandhaltung, Gr. S/L;Jeden Tag;10 Stk (0,26 € / 1 Stk);2.59;4006358009234;https://produkte.globus.de/milchprodukte-eier/eier/4006358009234/eier-aus-freilandhaltung-gr.-s-l
;JT K?chent?cher 3-la;2.75;3;2.0;brand:jeden+tag;Bio Eier;Jeden Tag;10 Stk (0,40 € / 1 Stk);3.99;4011996916240;https://produkte.globus.de/milchprodukte-eier/eier/4011996916240/bio-eier
y;JT Kaffeesahne 10%;0.89;1;3.33;name:kaffeesahne brand:jeden+tag;Kaffeesahne 10%;Jeden Tag;0,2 kg (4,45 € / 1 kg);;4306188399179;https://produkte.globus.de/brot-backwaren-fruehstueck/kaffee/kaffeesahne-kondensmilch/4306188399179/kaffeesahne-10
;JT Kaffeesahne 10%;0.89;2;3.33;name:kaffeesahne brand:jeden+tag;Kaffeesahne-Kännchen, 12% Fett;Jeden Tag;0,2 kg (3,45 € / 1 kg);;4306188400134;https://produkte.globus.de/brot-backwaren-fruehstueck/kaffee/kaffeesahne-kondensmilch/4306188400134/kaffeesahne-kaennchen-12-fett
;JT Kaffeesahne 10%;0.89;3;2.5;brand:jeden+tag price:0.89;Mandeln, blanchiert & gehobelt;Jeden Tag;0,1 kg (8,90 € / 1 kg);0.89;4306188046295;https://produkte.globus.de/brot-backwaren-fruehstueck/backzutaten/nuesse-zum-backen/4306188046295/mandeln-blanchiert-gehobelt
;JT Magerquark 250g;1.38;1;4.0;brand:jeden+tag size:250g;Sahne Kefir mild, auf Ananas;Jeden Tag;0,25 kg (2,36 € / 1 kg);0.59;4306180162689;https://produkte.globus.de/milchprodukte-eier/milch-molkereiprodukte/fruchtjoghurts/4306180162689/sahne-kefir-mild-auf-ananas
;JT Magerquark 250g;1.38;2;4.0;brand:jeden+tag size:250g;Schmelzkäsescheiben, Sandwich;Jeden Tag;0,25 kg (5,96 € / 1 kg);1.49;4306188012788;https://produkte.globus.de/milchprodukte-eier/kaese/kaesescheiben/4306188012788/schmelzkaesescheiben-sandwich
;JT Magerquark 250g;1.38;3;4.0;brand:jeden+tag size:250g;Schmelzkäsescheiben Toast;Jeden Tag;0,25 kg (5,96 € / 1 kg);1.49;4306188012849;https://produkte.globus.de/milchprodukte-eier/kaese/schmelz-sandwichkaese/4306188012849/schmelzkaesescheiben-toast
;JT Mozzarella gerieb;1.69;1;3.0;name:mozzarella brand:jeden+tag;Mozzarella, Minis;Jeden Tag;0,13 kg (8,00 € / 1 kg);;4306188367895;https://produkte.globus.de/milchprodukte-eier/kaese/mozzarella/4306188367895/mozzarella-minis
;JT Mozzarella gerieb;1.69;2;3.0;name:mozzarella brand:jeden+tag;Mozzarella, Minis light;Jeden Tag;0,13 kg (8,00 € / 1 kg);1.0;4306188368663;https://produkte.globus.de/milchprodukte-eier/kaese/mozzarella/4306188368663/mozzarella-minis-light
;JT Mozzarella gerieb;1.69;3;3.0;name:mozzarella brand:jeden+tag;Mozzarella, Classic;Jeden Tag;0,13 kg (6,80 € / 1 kg);;4306188390565;https://produkte.globus.de/milchprodukte-eier/kaese/mozzarella/4306188390565/mozzarella-classic
;JT Salami Edelschim;1.99;1;2.5;brand:jeden+tag price:1.99;Käsescheiben Gouda, light;Jeden Tag;0,2 kg (9,95 € / 1 kg);1.99;4306188005476;https://produkte.globus.de/milchprodukte-eier/kaese/kaesescheiben/4306188005476/kaesescheiben-gouda-light
;JT Salami Edelschim;1.99;2;2.5;brand:jeden+tag price:1.99;Schmelzkäse, 8 Ecken;Jeden Tag;0,25 kg (7,96 € / 1 kg);1.99;4306188014423;https://produkte.globus.de/milchprodukte-eier/kaese/schmelz-sandwichkaese/4306188014423/schmelzkaese-8-ecken
;JT Salami Edelschim;1.99;3;2.5;brand:jeden+tag price:1.99;Sprühsahne;Jeden Tag;0,25 l (7,96 € / 1 l);1.99;4306188027072;https://produkte.globus.de/milchprodukte-eier/milch-molkereiprodukte/sahne/4306188027072/spruehsahne
;JT Schoko Rosinen;1.69;1;3.0;name:schoko brand:jeden+tag;Knuspermüsli Schoko mit Schokoladenplättchen und Mandeldragees;Jeden Tag;0,6 kg (3,82 € / 1 kg);2.29;4306188017264;https://produkte.globus.de/brot-backwaren-fruehstueck/muesli/muesli/4306188017264/knuspermuesli-schoko-mit-schokoladenplaettchen-und-mandeldragees
;JT Schoko Rosinen;1.69;2;3.0;name:schoko brand:jeden+tag;Knuspermüsli, Schoko-Keks;Jeden Tag;0,75 kg (3,05 € / 1 kg);2.29;4306188017295;https://produkte.globus.de/brot-backwaren-fruehstueck/muesli/muesli/4306188017295/knuspermuesli-schoko-keks
;JT Schoko Rosinen;1.69;3;3.0;name:schoko brand:jeden+tag;Cornflales Schoko Curl;Jeden Tag;0,75 kg (3,72 € / 1 kg);2.79;4306188017325;https://produkte.globus.de/brot-backwaren-fruehstueck/muesli/cornflakes-cerealien/4306188017325/cornflales-schoko-curl
;JT Schokoladeneis;1.89;1;2.5;brand:jeden+tag price:1.89;Pinienkerne;Jeden Tag;0,05 kg (37,80 € / 1 kg);1.89;4306188051268;https://produkte.globus.de/obst-gemuese/trockenobst-nuesse-kerne/trockenobst/4306188051268/pinienkerne
;JT Schokoladeneis;1.89;2;2.5;brand:jeden+tag price:1.89;Kürbiskerne, naturbelassen;Jeden Tag;0,2 kg (9,45 € / 1 kg);1.89;4306188051350;https://produkte.globus.de/obst-gemuese/trockenobst-nuesse-kerne/trockenobst/4306188051350/kuerbiskerne-naturbelassen
